id,species,zone,geometry,generation,genetic_resistance,appetite,aggression,mobility,alive,mutated,hybrid
106,AB,3,POINT (3 2.0000000000000004),2,0.78,0.3,0.18,0.55,True,False,True
107,AB,3,POINT (3 2.0000000000000004),2,0.8847254610541581,0.35325838009599286,0.2963266601700947,0.53,True,False,True
108,AB,1,POINT (3 2.0000000000000004),2,0.8,0.32,0.22,0.6,True,False,True
109,AB,3,POINT (3 2.0000000000000004),2,0.71,0.32,0.32,0.54,True,False,True
110,AB,1,POINT (3 2.0000000000000004),2,0.81,0.29,0.32,0.53,True,False,True
111,AB,3,POINT (3 2.0000000000000004),2,0.71,0.29,0.12,0.48,True,False,True
112,AB,3,POINT (3 2.0000000000000004),2,0.81,0.29,0.32,0.53,True,False,True
113,AB,3,POINT (3 2.0000000000000004),2,0.67,0.37,0.34,0.54,True,False,True
114,AB,3,POINT (3 2.0000000000000004),2,0.6906589904693705,0.27529202697158717,0.21724124742470707,0.56,True,True,True
115,AB,3,POINT (3 2.0000000000000004),2,0.67,0.29,0.39,0.62,True,False,True
116,AB,3,POINT (3 2.0000000000000004),2,0.8,0.3,0.14,0.47,True,False,True
117,AB,3,POINT (3 2.0000000000000004),2,0.78,0.38,0.23,0.6,True,False,True
118,AB,3,POINT (3 2.0000000000000004),2,0.8,0.3,0.14,0.47,True,False,True
119,AB,3,POINT (3 2.0000000000000004),2,0.7,0.33,0.17,0.56,True,False,True
